date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:33	20927/20927	---M--	200	added ('OK')	image/png	etag:%22cdf90aa6ee603c4522add5be2871b731%22	https://static.tildacdn.com/tild3838-3034-4132-a239-373730363463/free-icon-telegram-2.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3838-3034-4132-a239-373730363463/free-icon-telegram-2.png	(from https://addictionbets.com/)
15:48:33	43192/43192	---M--	200	added ('OK')	image/png	etag:%229a257caa99e4f48e1aec30d03a14d998%22	https://static.tildacdn.com/tild3032-6434-4662-b138-383134613930/dice_1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3032-6434-4662-b138-383134613930/dice_1.png	(from https://addictionbets.com/)
15:48:33	10891/10891	---M--	200	added ('OK')	image/png	etag:%22c5575c46900a7256514ef1423eab85df%22	https://static.tildacdn.com/tild6131-3038-4433-a566-383365326538/7111340.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6131-3038-4433-a566-383365326538/7111340.png	(from https://addictionbets.com/)
15:48:33	13816/13816	---M--	200	added ('OK')	image/png	etag:%2285047fddb4cc8ef6e4a4dbb1d33d6534%22	https://static.tildacdn.com/tild6639-6434-4362-b635-623864373266/-1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6639-6434-4362-b635-623864373266/-1.png	(from https://addictionbets.com/)
15:48:34	4032/4032	---M--	200	added ('OK')	image/png	etag:%225f96d17d09d06cab5cfc3d8b70043a48%22	https://static.tildacdn.com/tild3231-3233-4863-a461-393336626539/-1_1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3231-3233-4863-a461-393336626539/-1_1.png	(from https://addictionbets.com/)
15:48:34	2088/2088	---M--	200	added ('OK')	image/png	etag:%22b1190cc5524b309158c26be99ac43a68%22	https://static.tildacdn.com/tild6163-3337-4839-b233-643335356366/-1_2.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6163-3337-4839-b233-643335356366/-1_2.png	(from https://addictionbets.com/)
15:48:34	2079/2079	---M--	200	added ('OK')	image/png	etag:%22be3e0bfbfe09e17553ae6705bb1c5249%22	https://static.tildacdn.com/tild3531-3166-4135-b031-623765633363/-1_4.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3531-3166-4135-b031-623765633363/-1_4.png	(from https://addictionbets.com/)
15:48:34	3577/3577	---M--	200	added ('OK')	image/png	etag:%22c1f7661a746dcf9c42b9367d451a4234%22	https://static.tildacdn.com/tild3362-6562-4334-b661-353436313762/-1_11.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3362-6562-4334-b661-353436313762/-1_11.png	(from https://addictionbets.com/)
15:48:34	2569/2569	---M--	200	added ('OK')	image/png	etag:%2265ebbc2ccebe04d43bd086c0012e0370%22	https://static.tildacdn.com/tild6261-3961-4362-b939-386337396361/-1_12.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6261-3961-4362-b939-386337396361/-1_12.png	(from https://addictionbets.com/)
15:48:35	4339/4339	---M--	200	added ('OK')	image/png	etag:%22f023eca91d316fcebcb5fa0ea7bf92bb%22	https://static.tildacdn.com/tild3164-3164-4232-b966-326430643562/-1_17.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3164-3164-4232-b966-326430643562/-1_17.png	(from https://addictionbets.com/)
15:48:35	2543/2543	---M--	200	added ('OK')	image/png	etag:%223ae3c9a572a7b077f3e1ed565a874f8c%22	https://static.tildacdn.com/tild3330-6639-4236-b337-626434313430/-1_18.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3330-6639-4236-b337-626434313430/-1_18.png	(from https://addictionbets.com/)
15:48:35	3544/3544	---M--	200	added ('OK')	image/png	etag:%22486f7083a2d6901af9d322a5dc64ea26%22	https://static.tildacdn.com/tild6535-3031-4335-a637-643330306337/-1_19.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6535-3031-4335-a637-643330306337/-1_19.png	(from https://addictionbets.com/)
15:48:35	4087/4087	---M--	200	added ('OK')	image/png	etag:%22203dcfb29953151da0425675436968c3%22	https://static.tildacdn.com/tild3034-3166-4362-b033-313339336333/-1_22.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3034-3166-4362-b033-313339336333/-1_22.png	(from https://addictionbets.com/)
15:48:36	2186/2186	---M--	200	added ('OK')	image/png	etag:%22979c33a6e9920491acbf65c68fe86680%22	https://static.tildacdn.com/tild3738-6563-4363-a333-346130323761/-1_20.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3738-6563-4363-a333-346130323761/-1_20.png	(from https://addictionbets.com/)
15:48:36	2076/2076	---M--	200	added ('OK')	image/png	etag:%2271c53941095c6e13415da3c34230cafe%22	https://static.tildacdn.com/tild3731-3266-4633-a664-343231363562/-1_21.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3731-3266-4633-a664-343231363562/-1_21.png	(from https://addictionbets.com/)
15:48:36	13816/13816	---M--	200	added ('OK')	image/png	etag:%2285047fddb4cc8ef6e4a4dbb1d33d6534%22	https://static.tildacdn.com/tild6664-6336-4933-b833-303435313636/-1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6664-6336-4933-b833-303435313636/-1.png	(from https://addictionbets.com/)
15:48:36	13816/13816	---M--	200	added ('OK')	image/png	etag:%2285047fddb4cc8ef6e4a4dbb1d33d6534%22	https://static.tildacdn.com/tild6662-6461-4332-a566-653538623562/-1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild6662-6461-4332-a566-653538623562/-1.png	(from https://addictionbets.com/)
15:48:37	13816/13816	---M--	200	added ('OK')	image/png	etag:%2285047fddb4cc8ef6e4a4dbb1d33d6534%22	https://static.tildacdn.com/tild3063-3563-4565-b233-626131346161/-1.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/tild3063-3563-4565-b233-626131346161/-1.png	(from https://addictionbets.com/)
15:48:37	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/phong.SSS/Desktop/Resource/BetPrice/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://addictionbets.com/)
15:48:38	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/Users/phong.SSS/Desktop/Resource/BetPrice/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://addictionbets.com/)
15:48:38	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://addictionbets.com/)
15:48:39	8721/8721	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263189f39-2211%22	https://static.tildacdn.com/js/tilda-stat-1.0.min.js	C:/Users/phong.SSS/Desktop/Resource/BetPrice/static.tildacdn.com/js/tilda-stat-1.0.min.js	(from https://addictionbets.com/)
15:48:39	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/Users/phong.SSS/Desktop/Resource/BetPrice/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
